'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station TERMINUS DAM (TRM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
TRM,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
TRM,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
TRM,2,1992,,m,3.85,2.48,0.00,0.05,m,0.10,0.00,0.02,1.58,0.00,4.09
TRM,2,1993,,5.47,4.58,2.89,0.14,0.19,1.16,0.00,0.00,0.00,0.56,2.23,1.34
TRM,2,1994,,1.17,3.05,1.33,1.56,1.34,m,m,m,m,0.76,2.08,2.02
TRM,2,1995,,6.67,1.03,8.28,1.73,2.48,0.43,0.00,0.00,0.00,0.00,0.00,2.05
TRM,2,1996,,4.01,4.44,1.45,1.34,0.33,0.00,0.00,0.00,0.00,1.38,4.06,5.71
TRM,2,1997,,7.41,0.42,0.46,0.00,0.00,0.00,0.05,0.00,0.04,1.45,3.48,2.31
TRM,2,1998,,4.47,6.33,6.29,2.54,1.38,0.50,0.00,0.00,0.04,0.16,1.69,0.51
TRM,2,1999,,5.71,1.73,0.93,2.05,0.73,0.03,0.00,0.00,0.69,0.00,1.31,0.00
TRM,2,2000,,3.93,7.14,2.30,1.66,0.67,0.51,0.09,0.00,0.12,1.97,0.17,0.05
TRM,2,2001,,3.01,3.20,0.32,3.81,0.00,0.00,0.14,0.00,0.00,0.41,2.67,4.42
TRM,2,2002,,1.42,0.29,1.85,0.77,0.73,0.00,0.00,0.00,0.00,0.00,3.95,2.74
TRM,2,2003,,0.27,1.88,0.81,2.55,1.21,0.00,0.11,0.00,0.00,0.08,0.91,3.42
TRM,2,2004,,1.35,3.87,0.81,0.50,0.02,0.00,0.00,0.00,0.00,2.15,1.52,2.71
TRM,2,2005,,3.84,2.20,2.63,0.56,2.34,1.00,0.00,0.05,0.00,0.21,0.13,3.44
TRM,2,2006,,4.29,0.85,5.59,4.49,0.52,0.00,0.00,0.00,0.00,0.24,0.12,2.41
TRM,2,2007,,0.57,2.72,1.91,1.09,0.07,0.00,0.00,0.00,0.37,0.55,0.47,2.34
TRM,2,2008,,2.21,3.30,0.20,0.00,0.14,0.00,0.00,0.00,0.00,0.23,2.15,2.00
TRM,2,2009,,0.89,2.46,0.53,0.73,0.50,0.42,0.00,0.00,0.00,1.50,0.10,3.23
TRM,2,2010,,3.71,5.11,1.09,3.53,0.22,0.00,0.00,0.00,0.10,3.57,3.74,9.70
TRM,2,2011,,1.92,1.50,4.68,0.66,0.43,0.42,0.00,0.00,0.00,0.76,1.08,0.00
TRM,2,2012,,2.62,0.92,3.45,3.46,0.10,0.01,0.02,0.00,0.00,0.28,0.91,2.99
TRM,2,2013,,0.71,0.87,0.49,0.02,0.51,0.00,0.06,0.00,0.06,0.08,0.58,0.31
TRM,2,2014,,0.39,1.49,1.25,1.24,0.14,0.03,0.00,0.00,0.00,m,m,m
TRM,2,,
'End of Data
