'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station UKIAH (UKH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
UKH,2,1990,,6.87,4.29,2.31,0.52,5.47,0.02,0.00,0.00,1.29,0.88,0.51,1.98
UKH,2,1991,,0.52,3.37,15.34,0.86,0.47,0.48,0.05,0.00,0.00,2.25,2.40,3.46
UKH,2,1992,,4.11,10.99,4.80,1.23,0.24,1.39,0.00,0.00,0.00,4.10,1.20,14.24
UKH,2,1993,,12.42,7.99,3.10,2.62,3.45,1.37,0.00,0.00,0.00,0.67,2.80,4.91
UKH,2,1994,,4.80,7.59,0.30,2.66,0.58,0.00,0.02,0.00,0.00,0.37,6.80,4.81
UKH,2,1995,,24.76,0.74,18.64,4.57,2.68,0.43,0.00,0.00,0.00,0.00,0.31,15.94
UKH,2,1996,,13.57,9.35,3.48,3.82,2.74,0.00,0.00,0.00,0.18,1.59,4.00,15.72
UKH,2,1997,,12.71,1.17,2.45,1.04,1.23,0.64,0.00,0.90,0.69,2.33,9.99,4.31
UKH,2,1998,,16.62,22.33,6.65,2.29,6.42,0.21,0.00,0.00,0.00,2.35,8.92,1.26
UKH,2,1999,,4.15,13.14,5.96,2.06,0.13,0.00,0.00,0.51,0.18,1.31,5.28,1.30
UKH,2,2000,,8.01,12.03,2.48,3.05,2.62,1.22,0.00,0.00,0.32,2.90,1.99,1.78
UKH,2,2001,,5.46,8.91,3.52,1.17,0.00,0.63,0.00,0.00,0.21,0.69,9.36,10.77
UKH,2,2002,,4.16,3.05,2.09,0.70,0.76,0.00,0.00,0.00,0.00,0.00,5.98,22.25
UKH,2,2003,,3.77,3.28,3.99,9.80,0.63,0.00,0.00,0.00,0.23,0.03,4.24,18.51
UKH,2,2004,,2.01,13.03,1.46,0.58,0.28,0.03,0.00,0.00,0.15,5.34,1.84,6.74
UKH,2,2005,,8.26,3.63,4.85,2.74,4.72,2.16,0.00,0.00,0.03,0.85,5.54,22.14
UKH,2,2006,,7.37,5.13,10.98,7.87,0.43,0.00,0.00,0.00,0.00,0.21,4.49,7.30
UKH,2,2007,,0.51,9.62,0.85,2.39,m,0.00,0.00,0.00,0.00,2.18,0.60,7.30
UKH,2,2008,,15.25,5.22,1.25,0.44,0.00,0.01,0.00,0.00,0.28,1.22,4.53,3.48
UKH,2,2009,,0.78,9.26,3.87,0.09,2.93,0.00,0.00,0.00,0.02,3.57,1.75,4.09
UKH,2,2010,,11.30,4.38,5.60,5.06,2.19,0.37,0.00,0.00,0.08,7.97,3.26,9.12
UKH,2,2011,,2.21,4.94,12.60,0.69,2.47,1.99,0.00,0.00,0.00,3.54,2.37,0.03
UKH,2,2012,,5.21,1.40,12.22,1.55,0.29,0.00,0.00,0.00,0.00,0.65,8.67,15.79
UKH,2,2013,,1.25,0.21,2.67,1.57,m,m,m,m,1.38,0.05,1.34,0.79
UKH,2,2014,,0.88,11.61,7.40,2.56,m,m,m,m,m,m,m,m
UKH,2,,
'End of Data
