'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station VINTON (VNT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
VNT,2,1990,,0.96,1.05,0.65,0.92,1.33,0.21,1.50,0.30,0.68,0.18,0.41,0.37
VNT,2,1991,,0.05,0.96,4.11,0.33,1.06,0.45,0.50,0.83,0.60,0.80,1.47,0.72
VNT,2,1992,,0.20,1.27,1.21,0.34,0.10,0.59,0.36,0.61,0.06,1.70,0.06,4.52
VNT,2,1993,,4.00,2.51,1.34,0.75,0.79,1.56,0.50,0.39,0.00,1.65,0.16,1.44
VNT,2,1994,,0.04,1.35,1.23,0.15,1.00,0.03,0.25,0.00,0.63,0.21,3.53,2.04
VNT,2,1995,,7.63,0.55,6.44,1.60,2.61,1.35,0.79,0.00,0.00,0.00,0.48,3.16
VNT,2,1996,,4.09,4.57,2.06,1.60,m,m,0.02,0.62,0.42,0.45,1.37,7.56
VNT,2,1997,,7.80,0.32,0.24,0.74,0.38,0.69,0.22,0.00,0.55,0.60,0.84,1.01
VNT,2,1998,,2.54,3.14,2.47,1.02,2.67,2.88,0.06,0.00,2.86,0.96,2.24,1.35
VNT,2,1999,,3.75,4.43,1.20,0.99,0.09,0.29,0.00,0.38,0.08,1.11,0.56,0.33
VNT,2,2000,,5.64,3.33,0.50,0.88,1.25,0.14,0.00,0.01,0.21,0.71,1.09,0.40
VNT,2,2001,,0.49,0.63,0.68,0.90,0.01,0.05,0.04,0.00,0.31,0.42,1.76,3.11
VNT,2,2002,,0.81,0.39,1.12,0.82,0.49,0.07,0.65,0.00,0.00,0.13,2.57,3.65
VNT,2,2003,,1.15,0.63,1.12,1.80,0.32,0.32,0.17,1.32,0.37,0.00,0.68,3.21
VNT,2,2004,,0.91,2.47,0.40,0.00,1.02,0.58,0.00,0.09,0.18,1.84,0.59,2.55
VNT,2,2005,,1.75,0.34,2.37,0.77,1.06,1.15,0.00,0.00,0.58,0.57,0.81,9.37
VNT,2,2006,,2.49,2.42,2.19,3.38,0.35,0.14,0.04,0.05,0.00,0.87,1.01,0.81
VNT,2,2007,,0.19,3.17,0.61,0.64,0.22,0.61,0.09,0.11,0.34,2.26,0.59,1.75
VNT,2,2008,,3.47,1.41,0.69,0.07,1.15,0.00,0.03,0.00,0.00,0.19,1.89,1.13
VNT,2,2009,,0.68,1.01,2.47,0.30,0.72,1.53,0.06,0.11,0.00,1.27,0.57,2.16
VNT,2,2010,,2.18,2.50,1.21,1.45,0.86,0.10,0.30,0.15,0.00,2.64,1.46,4.82
VNT,2,2011,,0.31,3.31,3.93,0.56,0.82,2.93,0.38,0.00,0.28,0.98,0.48,0.00
VNT,2,2012,,2.25,0.51,3.44,0.84,0.29,0.49,0.83,0.06,0.12,0.52,2.57,7.80
VNT,2,2013,,0.46,0.01,0.42,0.45,0.61,0.16,0.49,0.29,1.12,0.59,0.56,0.45
VNT,2,2014,,0.83,2.67,1.81,0.10,0.44,m,m,m,m,m,m,m
VNT,2,,
'End of Data
