'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station VISALIA (VSL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:03
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
VSL,2,1990,,2.29,1.08,0.13,0.42,0.99,0.00,0.00,0.00,0.05,0.00,0.30,0.35
VSL,2,1991,,0.16,0.23,7.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,3.32
VSL,2,1992,,1.47,3.19,1.39,0.01,0.00,0.00,0.00,0.00,0.00,1.33,0.00,2.65
VSL,2,1993,,3.74,2.86,1.86,0.12,0.12,0.64,0.00,0.00,0.00,0.47,1.41,0.83
VSL,2,1994,,1.16,1.58,0.55,0.66,0.43,0.00,0.00,0.00,0.61,0.90,2.31,1.22
VSL,2,1995,,4.99,0.16,6.47,0.81,1.19,0.35,0.00,0.00,0.00,0.00,0.00,2.72
VSL,2,1996,,1.91,3.03,2.08,1.28,0.51,0.00,0.00,0.00,0.00,1.37,2.16,3.88
VSL,2,1997,,4.59,0.15,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.15,2.83,1.66
VSL,2,1998,,3.53,4.62,4.09,2.03,1.60,1.25,0.00,0.00,0.99,0.26,0.95,0.62
VSL,2,1999,,3.91,1.00,0.79,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00
VSL,2,2000,,2.17,4.44,1.45,1.03,0.50,0.95,0.00,0.10,0.00,2.07,0.00,0.10
VSL,2,2001,,2.18,3.82,0.44,1.44,0.00,0.00,0.00,0.00,0.00,0.48,2.04,4.89
VSL,2,2002,,1.06,0.21,1.31,0.23,0.22,0.00,0.00,0.00,0.00,0.00,1.76,1.63
VSL,2,2003,,0.45,1.36,0.70,1.90,0.91,0.00,0.02,0.00,0.00,0.00,0.61,2.45
VSL,2,2004,,0.90,2.20,1.43,0.40,0.00,0.00,0.00,0.00,0.00,1.70,0.82,0.95
VSL,2,2005,,3.15,1.38,2.31,0.97,0.88,0.00,0.00,0.00,0.00,0.00,0.19,1.61
VSL,2,2006,,4.41,0.15,2.81,5.74,0.53,0.00,0.00,0.00,0.00,0.26,0.03,0.88
VSL,2,2007,,0.32,1.61,0.48,0.20,0.04,0.00,0.00,0.01,0.82,0.83,0.10,1.41
VSL,2,2008,,2.27,0.74,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,1.89,1.28
VSL,2,2009,,1.15,1.37,0.18,0.31,0.40,0.19,0.00,0.00,0.02,1.47,0.17,1.72
VSL,2,2010,,2.04,2.65,0.67,2.06,0.28,0.00,0.00,0.00,0.00,0.67,1.33,6.33
VSL,2,2011,,1.24,0.95,2.37,0.36,0.34,0.60,0.00,0.00,0.00,0.00,0.37,0.00
VSL,2,2012,,0.42,0.31,1.60,2.78,0.00,0.35,0.00,0.00,0.00,0.03,0.14,1.68
VSL,2,2013,,0.26,0.90,0.51,0.00,0.85,0.00,0.00,0.05,0.00,0.05,0.65,0.20
VSL,2,2014,,0.34,1.13,1.47,0.66,0.10,0.00,0.00,0.00,0.05,m,m,m
VSL,2,,
'End of Data
