'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WOODLAND 1 WNW (WDL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:04
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WDL,2,1990,,5.02,3.36,1.08,0.32,2.22,0.00,0.00,0.00,0.00,0.04,0.32,1.21
WDL,2,1991,,0.38,2.93,9.11,0.29,0.32,0.42,0.00,0.00,0.00,0.41,0.29,2.84
WDL,2,1992,,2.51,8.38,2.82,0.64,0.00,0.22,0.00,0.00,0.00,2.34,0.21,6.86
WDL,2,1993,,11.70,7.57,2.33,0.98,0.82,0.47,0.00,0.00,0.00,1.00,2.55,1.87
WDL,2,1994,,2.66,3.34,0.12,0.74,1.20,0.00,0.00,0.00,0.05,0.85,3.90,2.90
WDL,2,1995,,12.28,0.30,8.44,0.54,1.09,0.70,0.00,0.00,0.00,0.00,0.01,6.56
WDL,2,1996,,4.29,8.67,2.17,2.30,2.11,0.00,0.00,0.00,0.00,2.12,1.36,5.80
WDL,2,1997,,10.65,0.21,0.66,0.15,0.41,0.14,0.00,0.22,0.04,0.38,5.21,2.23
WDL,2,1998,,5.50,12.20,1.80,1.67,2.42,0.05,0.00,0.00,0.57,0.87,2.25,1.28
WDL,2,1999,,0.52,4.08,1.63,1.43,0.07,0.02,0.00,0.00,0.00,0.26,1.56,0.29
WDL,2,2000,,5.11,7.40,1.75,1.70,1.12,0.22,0.00,0.00,0.32,1.52,0.86,0.34
WDL,2,2001,,3.60,5.70,2.82,1.46,0.00,0.13,0.00,0.00,0.24,0.47,3.54,6.96
WDL,2,2002,,2.33,0.75,1.85,0.05,0.71,0.00,0.00,0.00,0.00,0.00,2.37,8.93
WDL,2,2003,,2.32,1.90,2.27,3.52,0.75,0.00,0.00,1.02,0.00,0.00,0.77,5.52
WDL,2,2004,,2.53,6.38,0.71,0.14,0.13,0.00,0.00,0.00,0.01,2.59,3.11,3.70
WDL,2,2005,,6.16,3.89,2.29,0.79,1.86,0.90,0.00,m,m,0.05,2.43,10.61
WDL,2,2006,,2.93,2.11,5.47,4.54,0.51,0.00,0.00,0.00,0.00,0.01,1.69,1.70
WDL,2,2007,,0.06,3.19,0.15,1.81,0.24,0.00,0.11,0.00,0.20,1.35,0.83,2.84
WDL,2,2008,,8.16,3.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.45,2.20,1.98
WDL,2,2009,,1.40,5.82,2.04,1.04,0.70,0.28,0.00,0.00,0.26,3.83,0.43,2.20
WDL,2,2010,,7.43,3.29,1.79,3.47,0.68,m,m,m,m,1.13,2.67,6.49
WDL,2,2011,,1.68,3.97,m,0.10,1.18,2.17,0.00,0.00,0.05,0.95,1.13,0.28
WDL,2,2012,,3.37,0.90,4.24,2.12,m,0.00,m,m,m,1.05,3.05,7.28
WDL,2,2013,,0.78,0.45,1.60,0.71,0.11,0.40,0.00,0.00,m,0.00,1.10,0.34
WDL,2,2014,,0.24,4.90,m,m,m,m,m,m,m,m,m,m
WDL,2,,
'End of Data
