'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WHISKEYTOWN DAM (USBR) (WHI), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:04
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WHI,2,2002,,m,m,m,m,m,m,m,m,m,0.00,6.74,34.24
WHI,2,2003,,9.75,2.75,6.90,12.70,2.67,0.00,0.03,1.36,0.06,0.00,7.04,12.43
WHI,2,2004,,6.32,20.27,3.92,4.34,0.60,0.00,0.00,0.04,0.18,6.59,1.90,17.17
WHI,2,2005,,8.36,5.84,12.22,4.71,10.24,1.65,0.00,0.00,0.01,1.43,9.72,28.89
WHI,2,2006,,11.13,6.21,17.59,10.39,1.66,0.32,0.09,0.09,0.00,0.46,5.79,9.17
WHI,2,2007,,0.66,12.46,0.50,3.48,0.72,0.12,4.53,0.02,0.18,4.26,0.31,10.21
WHI,2,2008,,11.74,9.90,0.26,0.47,1.05,0.10,0.00,0.04,0.00,5.12,4.13,3.55
WHI,2,2009,,0.72,20.29,8.84,2.48,9.00,1.85,0.00,0.05,0.01,9.53,1.61,7.29
WHI,2,2010,,22.46,14.48,4.69,9.26,6.08,1.25,0.00,0.08,0.68,7.29,8.12,13.97
WHI,2,2011,,2.30,6.73,20.75,3.42,5.47,4.57,0.36,0.00,0.03,3.86,4.35,0.42
WHI,2,2012,,8.11,3.27,19.19,4.42,1.12,1.20,0.00,0.00,0.00,1.23,11.09,18.57
WHI,2,2013,,0.86,0.55,4.39,2.02,0.52,2.73,0.00,0.00,2.07,0.06,1.60,0.45
WHI,2,2014,,0.34,14.51,13.41,2.39,0.04,0.00,0.10,0.28,2.58,m,m,m
WHI,2,,
'End of Data
