'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WHISKEYTOWN DAM (OBSERVER) (WHK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:04
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WHK,2,1990,,9.34,3.30,2.89,1.18,13.09,0.05,0.06,0.38,0.27,1.27,0.54,0.95
WHK,2,1991,,1.25,4.02,22.44,2.05,1.43,0.35,0.06,0.08,0.00,1.58,1.71,5.78
WHK,2,1992,,5.05,20.30,9.20,5.07,0.40,3.72,0.00,0.00,0.00,6.10,2.07,14.83
WHK,2,1993,,16.30,10.40,14.48,3.94,7.36,1.66,0.00,0.01,0.00,2.31,1.37,12.07
WHK,2,1994,,8.77,7.20,0.82,4.94,1.54,0.79,0.00,0.00,0.06,0.10,6.03,5.66
WHK,2,1995,,48.05,2.05,29.49,7.08,3.51,4.54,0.03,0.00,0.00,0.00,0.22,21.38
WHK,2,1996,,10.00,17.31,3.71,3.75,8.21,0.20,0.30,0.00,0.87,2.81,15.42,26.82
WHK,2,1997,,18.27,0.54,2.82,2.59,0.67,4.13,0.11,0.71,1.40,2.19,16.09,4.62
WHK,2,1998,,19.39,39.39,14.79,5.72,10.32,2.21,0.13,0.00,0.51,1.60,17.62,4.06
WHK,2,1999,,7.30,14.85,9.06,4.25,0.32,0.35,0.00,0.10,0.00,2.80,8.65,1.28
WHK,2,2000,,13.51,27.28,6.11,7.16,2.22,1.03,0.02,0.00,3.02,5.09,1.47,2.57
WHK,2,2001,,10.32,13.25,5.01,3.02,0.08,2.97,0.02,0.00,1.03,2.94,16.27,19.32
WHK,2,2002,,7.24,4.91,4.92,1.37,1.75,0.30,0.00,0.00,0.00,0.00,6.74,34.24
WHK,2,2003,,9.75,2.75,6.90,12.80,2.67,0.00,0.03,1.36,0.06,0.00,8.56,12.48
WHK,2,2004,,3.62,23.06,3.92,4.43,0.46,1.00,0.00,0.00,0.11,7.02,1.78,12.17
WHK,2,2005,,9.58,5.75,12.22,4.71,10.24,2.32,0.00,0.00,m,m,m,26.85
WHK,2,2006,,m,m,m,13.13,m,m,m,m,m,m,m,m
WHK,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
WHK,2,2008,,m,m,0.26,m,m,m,m,m,m,m,m,3.55
WHK,2,2009,,m,m,8.84,m,m,m,m,m,m,m,m,m
WHK,2,2010,,m,m,m,m,m,m,m,m,m,m,m,m
WHK,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
WHK,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
WHK,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
WHK,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
WHK,2,,
'End of Data
