'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MOUNT WILSON NO 2 (WLS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:05
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WLS,2,1990,,6.37,6.12,0.58,1.61,1.74,0.05,0.00,0.16,0.02,0.00,0.95,0.17
WLS,2,1991,,4.34,8.16,21.36,0.17,0.01,0.04,0.27,0.05,0.27,3.03,0.34,5.80
WLS,2,1992,,5.46,20.06,11.83,0.04,0.42,0.00,1.71,0.00,0.00,5.88,0.00,9.35
WLS,2,1993,,26.39,16.37,4.87,0.05,0.06,1.81,0.00,0.00,0.00,0.66,1.85,1.51
WLS,2,1994,,1.34,m,m,m,m,0.00,0.00,0.00,0.00,2.85,1.19,1.98
WLS,2,1995,,28.22,6.50,16.36,1.54,0.43,1.78,0.08,0.00,0.00,0.00,0.22,3.23
WLS,2,1996,,4.32,17.74,6.37,2.44,0.60,0.00,0.01,0.00,0.00,2.30,4.30,11.33
WLS,2,1997,,12.24,0.82,0.01,0.05,0.00,0.37,0.01,0.00,1.85,0.05,5.01,4.93
WLS,2,1998,,4.35,27.49,7.27,4.71,10.79,0.60,0.00,0.02,0.25,0.08,3.37,0.70
WLS,2,1999,,3.67,2.23,2.71,6.30,0.17,1.23,0.09,0.00,0.00,0.00,0.94,0.29
WLS,2,2000,,2.48,16.32,5.30,5.56,0.11,0.00,0.00,0.03,0.75,1.99,0.06,0.01
WLS,2,2001,,7.48,14.81,3.55,3.56,0.00,0.00,0.21,0.00,0.00,0.18,2.27,3.35
WLS,2,2002,,3.38,0.39,2.13,0.27,0.98,0.00,0.00,0.00,0.31,0.10,7.60,4.30
WLS,2,2003,,0.05,13.92,5.58,3.79,3.10,0.05,0.01,0.00,0.00,0.56,0.72,4.35
WLS,2,2004,,0.52,6.54,0.85,0.85,0.00,0.00,0.00,0.00,0.00,9.47,0.83,10.82
WLS,2,2005,,4.50,13.68,1.87,0.60,1.01,0.00,0.00,0.00,0.39,2.75,0.20,0.90
WLS,2,2006,,4.13,3.33,3.37,4.18,0.63,0.00,0.08,0.00,0.00,0.01,0.11,0.92
WLS,2,2007,,0.63,2.56,0.49,0.45,0.00,0.00,0.06,0.00,1.49,0.43,0.76,3.54
WLS,2,2008,,15.34,2.50,0.09,0.00,1.99,0.00,0.00,0.00,0.01,0.12,3.68,3.31
WLS,2,2009,,0.71,3.65,0.09,0.08,0.00,0.01,0.00,0.00,0.00,3.88,0.01,4.87
WLS,2,2010,,6.62,8.77,0.43,2.00,0.04,0.00,0.00,0.00,0.00,2.27,1.89,15.71
WLS,2,2011,,0.55,4.84,6.11,0.03,0.49,0.07,0.10,0.25,0.19,0.95,4.38,0.90
WLS,2,2012,,1.28,0.86,8.36,2.51,0.00,0.00,0.02,0.12,0.01,0.54,3.50,8.03
WLS,2,2013,,5.23,1.59,1.69,0.06,2.55,0.00,0.02,0.00,0.00,1.40,1.97,0.57
WLS,2,2014,,0.51,9.60,1.87,1.37,0.03,0.00,0.06,0.12,0.20,m,m,m
WLS,2,,
'End of Data
