'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WEST POINT (WPT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:05
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WPT,2,1990,,6.01,2.37,3.66,2.34,3.95,0.00,0.11,0.00,0.12,0.80,1.04,1.35
WPT,2,1991,,0.31,2.06,14.25,1.18,2.36,0.93,0.00,0.06,0.02,4.35,1.69,3.02
WPT,2,1992,,1.47,8.47,5.30,0.67,0.01,1.17,0.12,0.00,0.30,2.36,0.45,10.11
WPT,2,1993,,13.02,6.48,6.20,2.05,2.49,0.90,0.00,0.00,0.00,2.03,1.80,3.85
WPT,2,1994,,3.07,5.41,0.59,3.07,1.92,0.00,0.00,0.00,0.21,1.56,8.37,5.30
WPT,2,1995,,16.02,1.12,14.23,4.67,2.83,1.84,0.00,0.00,0.00,0.01,0.23,7.87
WPT,2,1996,,10.64,10.35,4.31,3.30,4.03,1.20,0.04,0.00,0.25,2.38,8.60,15.84
WPT,2,1997,,12.04,0.91,0.41,0.38,0.65,0.15,m,0.00,0.00,1.92,6.12,3.46
WPT,2,1998,,15.15,16.73,6.82,4.58,7.49,1.96,0.00,0.00,0.86,0.65,5.73,3.19
WPT,2,1999,,9.74,12.67,3.52,3.04,1.10,0.32,0.00,0.10,0.00,1.44,4.53,1.27
WPT,2,2000,,14.50,15.03,2.11,3.00,3.79,0.45,0.00,0.08,1.52,4.42,1.80,2.15
WPT,2,2001,,5.29,6.84,3.35,5.02,0.00,0.12,0.00,0.00,0.32,1.24,3.97,12.19
WPT,2,2002,,3.93,3.88,6.22,1.76,2.36,0.00,0.00,0.00,0.00,0.00,4.40,13.05
WPT,2,2003,,1.55,2.99,4.30,9.46,1.33,0.00,0.00,0.78,0.00,0.00,2.96,14.24
WPT,2,2004,,5.74,7.30,0.87,0.32,0.48,0.00,0.00,0.00,0.38,8.28,3.03,9.14
WPT,2,2005,,9.55,4.19,11.83,1.87,4.19,1.19,0.00,0.00,1.16,0.77,2.40,16.52
WPT,2,2006,,7.69,4.50,13.79,11.67,1.46,0.00,0.00,0.00,0.00,1.16,3.33,5.52
WPT,2,2007,,1.93,11.56,1.34,2.84,0.85,0.14,0.01,0.00,0.38,1.49,1.15,6.84
WPT,2,2008,,12.55,4.73,0.97,0.21,0.95,0.00,0.00,0.00,0.00,1.03,2.99,5.56
WPT,2,2009,,3.81,7.55,5.90,2.13,3.14,0.10,0.00,0.00,0.19,4.03,1.29,6.91
WPT,2,2010,,9.02,5.46,4.74,8.52,3.97,0.08,0.00,0.00,0.00,6.76,8.07,16.91
WPT,2,2011,,2.81,6.27,14.58,1.89,3.85,2.68,0.00,0.00,0.11,2.82,m,0.00
WPT,2,2012,,6.79,3.07,11.07,5.39,0.39,0.83,0.01,0.00,0.13,1.73,8.03,9.96
WPT,2,2013,,1.33,0.89,3.13,1.85,0.68,1.01,0.00,0.00,1.36,0.15,1.85,1.01
WPT,2,2014,,1.12,10.49,4.31,3.54,0.12,0.00,0.00,0.01,1.08,m,m,m
WPT,2,,
'End of Data
