'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WASCO (WSC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:05
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WSC,2,1990,,1.10,0.98,0.21,0.23,0.34,0.00,0.00,0.11,0.09,0.02,0.50,0.15
WSC,2,1991,,0.46,0.36,5.45,0.07,0.01,0.00,0.00,0.00,0.00,0.60,0.03,1.45
WSC,2,1992,,1.79,2.48,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,1.56
WSC,2,1993,,2.35,2.13,1.91,0.11,0.01,0.29,0.00,0.00,0.00,0.07,0.49,1.25
WSC,2,1994,,1.11,1.37,0.75,0.49,0.98,0.00,0.00,0.00,1.30,0.44,1.22,0.86
WSC,2,1995,,3.02,0.67,4.26,0.53,0.59,0.64,0.00,0.00,0.00,0.00,0.00,1.14
WSC,2,1996,,0.77,3.09,0.75,0.17,0.02,0.00,0.00,0.00,0.00,1.29,1.41,2.81
WSC,2,1997,,2.17,0.52,0.13,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.96,0.55
WSC,2,1998,,1.16,4.59,2.72,0.84,1.69,2.00,0.00,0.00,0.06,0.52,1.08,0.30
WSC,2,1999,,3.86,0.15,0.60,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.10
WSC,2,2000,,0.79,1.82,1.40,0.82,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00
WSC,2,2001,,1.80,2.39,0.57,0.83,0.00,0.00,0.00,0.00,0.00,0.07,0.97,0.88
WSC,2,2002,,0.45,0.12,0.59,1.06,0.10,0.00,0.00,0.00,0.00,0.00,1.05,0.90
WSC,2,2003,,0.14,1.53,0.52,1.09,0.41,0.00,0.00,0.00,0.00,0.00,0.49,1.17
WSC,2,2004,,0.35,1.69,0.54,0.06,0.00,0.00,0.00,0.00,0.00,1.63,0.20,1.73
WSC,2,2005,,2.57,1.00,1.37,1.01,0.92,0.00,0.00,0.01,m,1.50,m,0.92
WSC,2,2006,,1.70,0.23,2.30,2.94,m,0.00,0.00,0.00,0.00,0.78,0.04,0.47
WSC,2,2007,,0.46,0.48,0.21,0.35,0.26,0.00,0.00,0.00,0.11,0.03,0.03,0.29
WSC,2,2008,,1.45,0.52,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.84,0.52
WSC,2,2009,,0.31,1.41,0.19,0.09,0.27,0.05,0.00,0.00,0.23,0.00,0.00,1.00
WSC,2,2010,,0.05,0.82,0.12,0.45,0.02,0.00,0.00,0.00,0.00,0.00,0.72,6.02
WSC,2,2011,,0.40,0.31,1.37,0.38,0.32,0.81,0.00,0.00,0.00,0.58,1.06,0.03
WSC,2,2012,,0.29,0.30,1.26,1.50,0.00,0.00,0.00,0.00,0.00,0.05,0.36,0.65
WSC,2,2013,,0.71,0.16,1.08,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.23,0.08
WSC,2,2014,,0.01,0.28,1.05,0.49,0.00,0.00,0.00,0.00,0.00,m,m,m
WSC,2,,
'End of Data
