'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WISHON DAM (PG&E) (WSD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:06
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WSD,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
WSD,2,1999,,m,m,m,m,m,m,m,m,m,0.08,2.30,0.02
WSD,2,2000,,14.30,15.73,2.83,4.50,1.72,m,m,m,m,5.47,0.40,0.30
WSD,2,2001,,4.91,9.31,3.13,6.40,0.00,0.00,0.40,0.00,0.00,2.13,8.62,10.52
WSD,2,2002,,3.62,2.33,4.43,1.94,1.99,0.00,0.00,0.00,0.00,0.17,10.55,9.55
WSD,2,2003,,0.51,4.84,5.08,7.28,3.37,0.00,0.91,0.48,0.05,0.11,4.44,11.85
WSD,2,2004,,5.34,8.52,0.80,0.32,0.33,0.05,0.00,0.00,0.01,13.31,1.73,7.09
WSD,2,2005,,15.45,7.55,13.03,4.63,6.13,0.00,1.27,0.07,0.48,0.32,1.13,18.63
WSD,2,2006,,9.91,8.61,12.95,13.79,1.72,0.01,0.99,0.00,0.00,1.10,1.28,4.23
WSD,2,2007,,1.39,8.53,1.82,2.37,0.39,0.00,0.00,0.78,0.40,1.49,0.66,2.72
WSD,2,2008,,1.62,8.86,1.40,0.05,1.80,0.00,1.00,0.00,0.03,2.20,4.83,7.38
WSD,2,2009,,6.59,8.67,4.42,2.35,3.74,1.37,0.00,0.37,0.00,10.33,0.43,7.59
WSD,2,2010,,9.98,9.06,4.44,7.85,1.72,0.00,0.05,0.00,0.06,7.48,6.51,24.22
WSD,2,2011,,4.33,7.25,16.98,1.93,4.74,1.59,1.55,0.00,0.75,3.60,2.90,0.00
WSD,2,2012,,6.28,1.47,3.98,3.86,0.16,0.14,0.00,0.08,0.00,1.74,7.66,8.97
WSD,2,2013,,2.52,0.57,1.38,0.76,0.33,0.07,0.46,0.04,0.50,m,0.48,1.42
WSD,2,2014,,1.61,5.65,2.76,3.46,1.73,0.01,0.21,0.00,1.37,m,m,m
WSD,2,,
'End of Data
