'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WATSONVILLE WATER (WTW), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:06
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WTW,2,1990,,3.26,3.11,1.92,0.31,2.17,0.00,0.06,0.00,0.30,0.27,0.27,1.68
WTW,2,1991,,0.48,3.02,11.74,0.46,0.05,0.01,0.01,0.04,0.01,0.86,0.75,3.17
WTW,2,1992,,2.47,7.67,3.85,0.07,0.00,0.15,0.00,0.00,0.00,0.86,0.01,7.01
WTW,2,1993,,10.47,5.71,2.87,0.73,1.21,0.37,0.00,0.00,0.00,0.35,2.17,3.64
WTW,2,1994,,2.54,5.66,0.36,1.83,1.33,0.02,0.00,0.00,0.05,1.00,5.50,2.50
WTW,2,1995,,12.34,0.58,7.71,3.95,0.51,0.64,0.00,0.00,0.00,0.00,0.11,6.64
WTW,2,1996,,5.14,7.79,2.58,0.80,2.53,0.00,0.00,0.00,0.00,1.62,6.10,10.95
WTW,2,1997,,7.26,0.14,0.42,0.57,0.02,0.08,0.00,0.20,0.00,1.09,6.18,3.63
WTW,2,1998,,10.23,15.99,3.84,3.01,2.46,0.14,0.00,0.00,0.15,0.61,2.95,0.91
WTW,2,1999,,4.98,7.10,2.90,1.68,0.00,0.00,0.00,0.00,0.00,0.22,3.30,0.29
WTW,2,2000,,7.39,10.14,2.59,0.98,0.76,0.09,0.00,0.16,0.09,3.10,0.49,0.76
WTW,2,2001,,3.44,6.28,1.98,1.12,0.00,0.00,0.00,0.02,0.17,0.34,4.30,7.89
WTW,2,2002,,1.48,0.70,1.51,0.24,0.29,0.00,0.00,0.07,0.00,0.00,3.40,8.88
WTW,2,2003,,1.27,1.71,1.22,2.52,1.16,0.02,0.02,0.02,0.02,0.41,2.31,7.80
WTW,2,2004,,2.49,5.74,0.77,0.04,0.11,0.00,0.00,0.00,0.01,3.51,1.75,4.87
WTW,2,2005,,4.22,4.63,5.33,1.59,0.83,0.82,0.03,0.00,0.00,0.17,0.90,8.77
WTW,2,2006,,5.51,1.76,8.61,5.81,0.83,0.00,0.00,0.00,0.00,0.10,1.52,4.10
WTW,2,2007,,0.96,4.96,0.33,1.06,0.17,0.00,0.00,0.00,0.41,1.26,0.64,2.73
WTW,2,2008,,7.37,3.27,0.21,0.28,0.00,0.00,0.00,0.03,0.00,0.59,2.38,3.29
WTW,2,2009,,1.15,6.24,2.21,0.36,0.77,0.02,0.02,0.00,0.00,5.31,0.09,3.65
WTW,2,2010,,6.12,5.27,2.33,4.19,0.49,0.02,0.01,0.09,0.00,1.62,3.23,6.67
WTW,2,2011,,2.01,4.65,7.88,0.27,m,1.11,0.01,0.03,0.00,1.87,2.10,0.04
WTW,2,2012,,2.81,0.65,4.13,3.13,0.01,0.20,0.04,0.00,0.00,0.41,2.98,7.89
WTW,2,2013,,0.72,0.53,0.53,0.79,0.00,0.03,0.01,0.00,0.06,0.05,0.46,0.33
WTW,2,2014,,0.05,4.74,2.29,1.10,m,m,m,m,m,m,m,m
WTW,2,,
'End of Data
