'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station WEAVERVILLE RS (WVR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:06
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
WVR,2,1990,,5.38,3.26,2.52,0.92,6.91,0.21,0.29,0.64,0.51,0.97,0.72,1.38
WVR,2,1991,,1.74,2.88,8.39,1.01,0.47,0.05,0.19,0.20,0.01,1.51,3.09,3.63
WVR,2,1992,,2.86,6.98,3.97,3.97,1.83,2.06,0.00,0.00,0.00,3.60,2.48,7.91
WVR,2,1993,,8.12,5.02,4.65,3.94,3.46,2.28,0.00,0.02,0.05,1.65,0.93,5.25
WVR,2,1994,,3.76,3.06,0.50,1.56,1.76,0.08,0.00,0.00,0.17,0.14,6.72,5.08
WVR,2,1995,,20.82,1.29,14.51,3.22,1.21,1.77,0.85,0.00,0.00,0.00,0.47,11.54
WVR,2,1996,,12.56,7.78,3.31,3.83,2.76,0.11,0.66,0.00,0.50,2.59,4.22,21.04
WVR,2,1997,,8.79,1.00,2.30,2.18,0.24,1.80,0.04,0.00,0.69,2.50,7.27,3.73
WVR,2,1998,,16.87,15.17,8.29,2.78,3.42,1.38,0.00,0.00,0.47,2.08,11.90,3.12
WVR,2,1999,,5.81,12.15,3.70,1.45,0.28,0.15,0.00,0.13,0.03,1.99,5.26,2.12
WVR,2,2000,,8.25,11.79,3.23,2.08,1.84,0.35,0.09,0.00,0.37,3.33,1.13,2.80
WVR,2,2001,,4.72,4.51,2.97,1.73,0.31,1.84,0.07,0.02,1.00,1.22,11.07,11.01
WVR,2,2002,,4.88,4.71,2.16,0.98,1.35,0.50,0.25,0.00,0.00,0.00,5.31,17.97
WVR,2,2003,,6.00,2.25,4.91,7.06,0.58,0.00,0.00,0.62,0.22,0.00,5.27,11.15
WVR,2,2004,,7.69,10.96,2.28,1.74,0.72,0.00,0.00,0.03,0.00,4.39,1.54,10.35
WVR,2,2005,,3.55,2.40,6.74,3.34,5.91,3.33,0.00,0.00,0.00,1.02,5.85,20.86
WVR,2,2006,,10.17,4.56,8.13,4.13,2.16,0.29,0.00,0.05,0.00,0.34,6.00,3.03
WVR,2,2007,,0.94,6.75,2.14,2.09,0.94,0.17,0.47,m,m,4.00,m,m
WVR,2,2008,,10.90,2.00,m,0.71,1.31,0.04,0.00,0.00,0.01,2.34,4.00,4.04
WVR,2,2009,,1.23,5.73,2.06,0.66,3.70,2.25,0.30,0.69,0.10,2.50,2.34,5.91
WVR,2,2010,,10.32,5.29,3.88,6.14,2.69,0.40,0.00,0.19,0.64,9.15,4.51,9.44
WVR,2,2011,,2.50,3.01,10.74,2.25,3.15,2.20,0.28,0.00,0.09,4.17,3.02,0.88
WVR,2,2012,,7.96,2.57,11.16,2.99,0.15,0.69,0.45,0.00,0.00,1.52,7.44,13.88
WVR,2,2013,,1.48,0.64,3.00,1.39,1.24,0.90,0.71,0.91,1.43,0.01,1.42,0.48
WVR,2,2014,,0.99,6.22,8.50,0.42,0.31,0.02,0.43,0.00,1.73,m,m,m
WVR,2,,
'End of Data
