'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station YREKA (YRK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:06
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
YRK,2,1990,,4.52,1.51,1.04,0.80,2.38,0.21,1.35,0.56,0.68,0.35,1.32,0.64
YRK,2,1991,,1.02,1.68,2.87,0.83,2.38,1.28,1.08,0.79,0.00,0.81,2.52,1.41
YRK,2,1992,,0.79,1.07,0.29,0.83,0.45,2.35,0.53,0.07,0.35,1.41,0.71,4.35
YRK,2,1993,,5.63,1.33,2.01,1.58,2.79,1.43,0.01,0.81,0.48,0.68,0.41,2.63
YRK,2,1994,,1.10,1.28,0.15,1.05,1.80,0.00,0.09,0.03,0.33,0.03,3.53,1.48
YRK,2,1995,,5.63,1.13,4.94,2.84,1.40,1.69,2.08,0.00,0.16,0.06,0.53,9.22
YRK,2,1996,,7.43,2.21,1.40,2.05,1.62,0.61,0.99,0.19,0.73,2.10,4.29,9.67
YRK,2,1997,,5.89,0.89,0.89,0.81,1.05,1.75,0.63,1.27,0.73,1.67,2.33,1.07
YRK,2,1998,,6.11,4.16,3.53,1.25,4.14,3.03,0.12,0.00,0.84,0.84,8.07,1.64
YRK,2,1999,,4.50,5.85,0.60,0.31,0.08,0.03,0.00,1.00,0.00,1.41,1.73,0.93
YRK,2,2000,,5.78,3.21,1.19,3.42,0.33,0.60,0.17,0.16,0.07,1.62,0.36,1.17
YRK,2,2001,,0.81,0.89,0.97,0.84,0.45,0.11,1.11,0.00,0.76,0.28,5.39,4.14
YRK,2,2002,,1.87,1.45,0.49,1.56,0.61,0.20,0.18,0.20,0.43,0.02,2.52,10.12
YRK,2,2003,,2.36,0.81,2.53,1.37,0.29,0.10,0.37,0.65,0.11,0.02,1.81,4.10
YRK,2,2004,,2.12,3.22,1.11,0.89,1.02,0.23,0.56,0.05,0.01,2.95,1.17,5.35
YRK,2,2005,,1.00,0.52,0.99,2.37,3.47,0.52,0.00,0.00,m,0.55,5.36,12.24
YRK,2,2006,,7.02,2.12,1.24,1.40,0.12,1.07,0.00,0.37,0.00,0.24,2.96,5.27
YRK,2,2007,,1.27,2.72,0.24,0.68,0.77,0.40,1.24,0.04,0.08,3.42,0.93,3.05
YRK,2,2008,,4.61,2.12,1.09,0.45,2.20,0.08,0.00,0.11,0.00,0.52,1.28,2.11
YRK,2,2009,,0.95,1.81,1.44,0.34,4.14,2.72,0.64,0.32,0.05,0.20,1.50,1.45
YRK,2,2010,,3.41,1.21,1.91,3.11,0.60,0.50,1.27,0.06,0.47,3.39,2.32,4.19
YRK,2,2011,,1.05,1.19,5.41,0.89,1.50,1.33,1.09,0.06,0.05,0.96,1.13,0.80
YRK,2,2012,,3.81,1.35,3.49,1.28,0.17,1.42,0.12,0.00,0.00,0.45,3.57,5.61
YRK,2,2013,,1.54,0.41,0.71,0.91,1.43,0.12,0.00,0.90,1.16,0.02,0.57,0.20
YRK,2,2014,,1.96,3.01,3.36,0.36,0.55,0.06,0.22,0.00,1.80,m,m,m
YRK,2,,
'End of Data
