'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station YOSEMITE HEADQUARTERS (YSV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:07
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
YSV,2,1990,,6.63,4.59,2.39,2.40,1.77,0.38,1.62,0.10,0.55,0.08,2.05,1.53
YSV,2,1991,,0.69,3.31,19.51,1.15,2.65,0.70,0.00,0.00,0.19,4.33,2.91,3.61
YSV,2,1992,,1.85,7.87,2.61,0.50,0.66,0.82,4.19,0.06,0.00,2.78,0.09,10.56
YSV,2,1993,,15.35,8.71,3.78,1.60,1.77,1.71,0.00,0.00,0.00,1.44,1.94,2.16
YSV,2,1994,,1.91,5.91,1.43,1.87,1.72,0.00,0.00,0.00,1.74,1.44,8.81,3.94
YSV,2,1995,,14.51,1.70,18.29,4.91,3.88,1.57,0.24,0.00,0.00,0.00,0.17,8.82
YSV,2,1996,,10.26,10.00,6.59,4.10,3.81,0.64,0.00,0.03,0.12,5.49,10.99,10.68
YSV,2,1997,,17.57,0.85,0.24,0.93,0.53,0.65,0.42,0.00,0.99,0.43,3.71,3.87
YSV,2,1998,,12.01,18.82,6.94,2.59,4.54,1.67,0.04,0.00,1.15,0.74,6.22,1.66
YSV,2,1999,,8.58,10.25,2.14,3.08,0.44,0.53,0.18,0.15,0.07,0.65,2.68,0.31
YSV,2,2000,,11.52,11.34,1.34,3.17,2.68,0.72,0.00,0.09,0.50,3.65,1.78,0.68
YSV,2,2001,,5.96,5.82,2.84,4.71,0.07,0.00,0.26,0.00,0.30,1.00,6.76,10.24
YSV,2,2002,,2.28,1.91,4.03,1.36,1.64,0.10,0.00,0.00,0.52,0.23,7.63,11.85
YSV,2,2003,,0.91,2.66,2.83,7.29,2.72,0.00,1.34,0.90,0.12,0.05,3.00,10.80
YSV,2,2004,,2.99,8.46,0.93,0.27,1.03,0.00,0.00,0.00,0.30,6.19,1.78,3.83
YSV,2,2005,,10.99,7.39,5.63,1.99,4.37,0.15,0.00,0.31,0.60,0.76,3.11,11.31
YSV,2,2006,,10.89,4.48,8.30,8.92,1.12,0.00,0.47,0.00,0.00,0.65,1.51,7.48
YSV,2,2007,,0.82,4.72,1.86,1.88,0.67,0.15,0.00,1.92,0.69,1.24,0.00,4.33
YSV,2,2008,,7.55,9.67,0.21,0.00,0.97,0.09,0.23,0.00,0.03,1.63,3.74,6.74
YSV,2,2009,,4.58,7.16,7.77,1.73,7.40,0.35,0.00,0.15,0.00,5.87,0.60,8.64
YSV,2,2010,,7.24,6.54,4.50,7.46,1.56,0.00,0.01,0.00,0.00,6.16,6.57,16.14
YSV,2,2011,,2.95,6.68,13.24,1.63,2.76,1.93,0.00,0.11,2.31,2.80,1.07,0.00
YSV,2,2012,,5.11,2.24,5.97,4.78,0.28,0.64,0.08,0.00,0.00,1.15,4.90,10.49
YSV,2,2013,,1.10,0.37,3.18,1.58,1.07,0.12,0.00,0.00,0.87,0.65,0.73,1.53
YSV,2,2014,,1.01,5.47,3.89,2.75,0.61,0.20,0.28,0.15,0.54,m,m,m
YSV,2,,
'End of Data
